"","date","hits","keyword","geo","time","gprop","category"
"91",2019-12-15,63,"/m/01kcnl","AR","today+5-y","web",0
"92",2019-12-22,62,"/m/01kcnl","AR","today+5-y","web",0
"93",2019-12-29,80,"/m/01kcnl","AR","today+5-y","web",0
"94",2020-01-05,78,"/m/01kcnl","AR","today+5-y","web",0
"95",2020-01-12,90,"/m/01kcnl","AR","today+5-y","web",0
"96",2020-01-19,78,"/m/01kcnl","AR","today+5-y","web",0
"97",2020-01-26,72,"/m/01kcnl","AR","today+5-y","web",0
"98",2020-02-02,77,"/m/01kcnl","AR","today+5-y","web",0
"99",2020-02-09,77,"/m/01kcnl","AR","today+5-y","web",0
"100",2020-02-16,75,"/m/01kcnl","AR","today+5-y","web",0
"101",2020-02-23,74,"/m/01kcnl","AR","today+5-y","web",0
"102",2020-03-01,74,"/m/01kcnl","AR","today+5-y","web",0
"103",2020-03-08,66,"/m/01kcnl","AR","today+5-y","web",0
"104",2020-03-15,54,"/m/01kcnl","AR","today+5-y","web",0
"105",2020-03-22,50,"/m/01kcnl","AR","today+5-y","web",0
"106",2020-03-29,62,"/m/01kcnl","AR","today+5-y","web",0
"107",2020-04-05,57,"/m/01kcnl","AR","today+5-y","web",0
"108",2020-04-12,57,"/m/01kcnl","AR","today+5-y","web",0
"109",2020-04-19,63,"/m/01kcnl","AR","today+5-y","web",0
"110",2020-04-26,65,"/m/01kcnl","AR","today+5-y","web",0
"111",2020-05-03,69,"/m/01kcnl","AR","today+5-y","web",0
"112",2020-05-10,73,"/m/01kcnl","AR","today+5-y","web",0
"113",2020-05-17,69,"/m/01kcnl","AR","today+5-y","web",0
"114",2020-05-24,70,"/m/01kcnl","AR","today+5-y","web",0
"115",2020-05-31,67,"/m/01kcnl","AR","today+5-y","web",0
"116",2020-06-07,70,"/m/01kcnl","AR","today+5-y","web",0
"117",2020-06-14,57,"/m/01kcnl","AR","today+5-y","web",0
"118",2020-06-21,67,"/m/01kcnl","AR","today+5-y","web",0
"119",2020-06-28,70,"/m/01kcnl","AR","today+5-y","web",0
"120",2020-07-05,74,"/m/01kcnl","AR","today+5-y","web",0
"121",2020-07-12,72,"/m/01kcnl","AR","today+5-y","web",0
"122",2020-07-19,72,"/m/01kcnl","AR","today+5-y","web",0
"123",2020-07-26,72,"/m/01kcnl","AR","today+5-y","web",0
"124",2020-08-02,68,"/m/01kcnl","AR","today+5-y","web",0
"125",2020-08-09,72,"/m/01kcnl","AR","today+5-y","web",0
"126",2020-08-16,71,"/m/01kcnl","AR","today+5-y","web",0
"127",2020-08-23,73,"/m/01kcnl","AR","today+5-y","web",0
"128",2020-08-30,75,"/m/01kcnl","AR","today+5-y","web",0
"129",2020-09-06,70,"/m/01kcnl","AR","today+5-y","web",0
"130",2020-09-13,75,"/m/01kcnl","AR","today+5-y","web",0
"131",2020-09-20,74,"/m/01kcnl","AR","today+5-y","web",0
"132",2020-09-27,74,"/m/01kcnl","AR","today+5-y","web",0
"133",2020-10-04,75,"/m/01kcnl","AR","today+5-y","web",0
"134",2020-10-11,66,"/m/01kcnl","AR","today+5-y","web",0
"135",2020-10-18,69,"/m/01kcnl","AR","today+5-y","web",0
"136",2020-10-25,74,"/m/01kcnl","AR","today+5-y","web",0
"137",2020-11-01,67,"/m/01kcnl","AR","today+5-y","web",0
"138",2020-11-08,62,"/m/01kcnl","AR","today+5-y","web",0
"139",2020-11-15,71,"/m/01kcnl","AR","today+5-y","web",0
"140",2020-11-22,65,"/m/01kcnl","AR","today+5-y","web",0
"141",2020-11-29,68,"/m/01kcnl","AR","today+5-y","web",0
"142",2020-12-06,59,"/m/01kcnl","AR","today+5-y","web",0
"143",2020-12-13,63,"/m/01kcnl","AR","today+5-y","web",0
"144",2020-12-20,61,"/m/01kcnl","AR","today+5-y","web",0
